state,date,fossil,geo,hydro,nuclear,secondary,solar,wind,population,all sectors,commercial,industrial,residential
MI,2013-10-01,5570541.453,0.0,62561.421,2178083.0,259445.477,0.0,229793.157,9957888,10.29659090909091,10.333863636363636,7.053863636363636,13.967954545454544
MI,2013-11-01,5656623.734,0.0,83899.464,2577556.0,227886.118,0.0,373625.776,9959502,10.184772727272726,10.138181818181819,6.82090909090909,13.595227272727271
MI,2013-12-01,6189152.379,0.0,98293.281,3059481.0,254439.645,0.0,278638.97,9961116,10.333863636363636,9.989090909090908,6.988636363636363,13.23181818181818
MN,2013-01-01,2858304.364,0.0,10534.2,1167888.0,164465.359,91.551,903270.69,5428050,8.34909090909091,8.125454545454545,6.168636363636363,10.25931818181818
MN,2013-02-01,2348411.533,0.0,9968.818000000001,1130162.0,142052.544,132.925,690610.639,5431405,8.498181818181816,8.405,6.364318181818182,10.399090909090908
MN,2013-03-01,2498594.748,0.0,17785.098,821861.0,174357.906,186.351,737410.759,5434759,8.386363636363637,8.339772727272726,6.289772727272727,10.436363636363636
MN,2013-04-01,2113438.822,0.0,34056.671,777673.0,144731.087,201.196,800114.586,5438114,8.451590909090909,8.414318181818182,6.317727272727272,10.66931818181818
MN,2013-05-01,1941885.675,0.0,38554.932,752135.0,137433.502,227.853,783742.692,5441469,8.740454545454545,8.97340909090909,6.438863636363636,11.200454545454544
MN,2013-06-01,2041688.923,0.0,212784.521,700657.0,155768.238,263.116,555309.207,5444824,9.318181818181818,9.607045454545455,6.7929545454545455,11.843409090909091
MN,2013-07-01,2925237.07,0.0,55478.785,776208.0,176374.685,244.924,507879.342,5448178,9.38340909090909,9.346136363636363,6.904772727272727,11.806136363636362
MN,2013-08-01,2923603.772,0.0,19471.181,1120700.0,186870.124,284.113,372269.898,5451533,9.290227272727273,9.327499999999999,6.82090909090909,11.768863636363637
MN,2013-09-01,2333835.479,0.0,27863.516,978057.0,195081.015,283.11,605853.763,5454888,9.066590909090909,9.215681818181817,6.6904545454545445,11.619772727272727
MN,2013-10-01,2348368.915,0.0,22826.24,835437.0,155479.279,298.132,693866.339,5458243,8.591363636363637,8.637954545454544,6.3922727272727276,11.247045454545454
MN,2013-11-01,2393639.187,0.0,25427.308,815663.0,175681.937,245.025,929990.42,5461597,8.498181818181816,8.488863636363636,6.382954545454544,10.734545454545453
MN,2013-12-01,3119010.17,0.0,36360.785,831276.0,162387.48,247.704,678432.415,5464952,8.526136363636363,8.31181818181818,6.382954545454544,10.436363636363636
MO,2013-01-01,7097480.535,0.0,13148.44,922003.0,9239.729,0.0,120071.509,6040106,7.342727272727272,7.100454545454545,5.18090909090909,8.405
MO,2013-02-01,6153488.991,0.0,22328.252,833927.0,7546.46,0.0,120252.819,6041489,7.622272727272726,7.426590909090908,5.423181818181818,8.805681818181817
MO,2013-03-01,6823435.132999999,0.0,101856.676,894008.0,7293.819,0.0,118399.037,6042872,7.687499999999999,7.510454545454546,5.329999999999999,8.982727272727272
MO,2013-04-01,6119850.103,0.0,186309.798,173068.0,7316.280000000001,0.0,110610.934,6044255,7.6036363636363635,7.519772727272727,5.2740909090909085,9.17840909090909
MO,2013-05-01,6365285.811,0.0,217546.982,34149.0,6188.936,0.0,102231.796,6045638,8.861590909090909,8.824318181818182,5.861136363636363,10.948863636363635
MO,2013-06-01,6915329.910999999,0.0,201989.63,869706.0,6589.216,0.0,92047.841,6047022,9.867954545454545,9.635,6.988636363636363,11.563863636363635
MO,2013-07-01,7967712.18,0.0,66598.224,719609.0,6460.644,0.0,58431.054,6048405,10.110227272727272,9.672272727272727,7.109772727272727,11.694318181818181
MO,2013-08-01,7596697.363,0.0,171533.871,320343.0,6313.275,0.0,51414.943,6049788,9.970454545454544,9.700227272727272,7.081818181818181,11.526590909090908
MO,2013-09-01,6374405.956999999,0.0,25756.155,872034.0,5311.104,0.0,79198.698,6051171,8.731136363636363,8.34909090909091,6.41090909090909,10.194090909090908
MO,2013-10-01,6076799.902,0.0,33245.287,912338.0,9183.034,0.0,100931.832,6052554,7.706136363636363,7.49181818181818,5.199545454545454,9.5325
MO,2013-11-01,6174333.467,0.0,36696.645,892149.0,9237.523000000001,0.0,121852.537,6053938,7.594318181818181,7.370681818181818,5.18090909090909,9.206363636363637
MO,2013-12-01,6905101.576,0.0,59417.04,923769.0,9525.19,0.0,91419.0,6055321,7.473181818181818,7.137727272727273,5.218181818181818,8.554090909090908
MS,2013-01-01,3611621.558,0.0,0.0,311378.0,105971.644,0.0,0.0,2965441,7.9763636363636365,8.833636363636364,5.590909090909091,9.252954545454545
MS,2013-02-01,3152936.161,0.0,0.0,954564.0,95172.774,0.0,0.0,2965391,8.14409090909091,9.038636363636362,5.628181818181818,9.635
MS,2013-03-01,3006349.112,0.0,0.0,1069948.0,131096.71,0.0,0.0,2965341,8.172045454545454,9.280909090909091,5.535,9.774772727272726
MS,2013-04-01,2652841.065,0.0,0.0,1030120.0,112497.91,0.0,0.0,2965291,8.405,9.616363636363635,5.562954545454545,10.501590909090908
MS,2013-05-01,2704963.761,0.0,0.0,1066904.0,130502.16,0.0,0.0,2965240,8.451590909090909,9.476590909090909,5.702727272727272,10.66931818181818
MS,2013-06-01,4315991.559,0.0,0.0,983340.0,134161.261,0.0,0.0,2965190,8.908181818181818,9.5325,6.671818181818182,10.343181818181817
MS,2013-07-01,4288047.965,0.0,0.0,978908.0,131299.292,0.0,0.0,2965140,8.815,9.5325,6.41090909090909,10.10090909090909
